Organism	Species	Strain	Remark
5037	Klebsiella pneumoniae	ATCC_13883	
5038	Klebsiella pneumoniae	ATCC_13883	
5039	Escherichia coli K-12		
5040	Escherichia coli K-12	WM6026	
5041	Escherichia coli K-12	WM6026	
5042	Escherichia coli K-12	WM6026	
5043	Escherichia coli K-12	WM6026	
5044	Escherichia coli K-12	WM6026	
5045	Escherichia coli K-12	WM6026	
5046	Escherichia coli K-12	WM6026	
5047	Escherichia coli K-12	WM6026	
5048	Escherichia coli K-12	WM6026	
5049	Escherichia coli K-12	WM6026	
5050	Escherichia coli K-12	WM6026	
5051	Escherichia coli K-12	WM6026	
5052	Escherichia coli K-12	WM6026	
5053	Escherichia coli K-12	WM6026	
5054	Escherichia coli K-12	WM6026	
5055	Escherichia coli K-12	WM6026	
5056	Escherichia coli K-12	WM6026	
5057	Escherichia coli K-12	WM6026	
5058	Escherichia coli K-12	BW25141	
5059	Escherichia coli K-12	BW25141	
5060	Escherichia coli K-12	BW25141	
5061	Escherichia coli K-12	BW25141	
5062	Escherichia coli K-12	BW25141	
5063	Escherichia coli K-12	BW25141	
5064	Escherichia coli K-12	BW25141	
5065	Escherichia coli K-12	BW25141	
5066	Escherichia coli K-12	BW25141	
5067	Escherichia coli K-12	BW25141	
5068	Escherichia coli K-12	BW25141	
5069	Escherichia coli K-12	BW25141	
5070	Escherichia coli K-12	BW25141	
5071	Escherichia coli K-12	BW25141	
5072	Escherichia coli K-12	BW25141	
5073	Escherichia coli K-12	BW25141	
5074	Escherichia coli K-12	BW25141	
5075	Escherichia coli K-12	BW25141	
5076	Escherichia coli K-12	BW25113	
5077	Escherichia coli K-12	WM6026	
5078	Escherichia coli K-12	BW25141	
5079	Escherichia coli K-12	WM6026	
5080	Escherichia coli K-12	WM6026	
5081	Escherichia coli K-12	BW25113	
5082	Escherichia coli K-12	BW25113	
5083	Escherichia coli K-12	BW25113	
5084	Escherichia coli K-12	BW25113	
5085	Escherichia coli K-12	BW25113	
5086	Escherichia coli K-12	BW25113	
5087	Escherichia coli K-12	BW25113	
5088	Escherichia coli K-12	BW25113	
5089	Escherichia coli K-12	BW25113	
5090	Escherichia coli K-12	BW25113	
5091	Escherichia coli K-12	BW25113	
5092	Escherichia coli K-12	BW25113	
5093	Escherichia coli K-12	BW25113	
5094	Escherichia coli K-12	BW25113	
5095	Escherichia coli K-12	BW25113	
5096	Escherichia coli K-12	BW25113	
5097	Escherichia coli K-12	BW25113	
5098	Escherichia coli K-12	BW25113	
5099	Escherichia coli K-12	BW25113	
5100	Escherichia coli K-12	BW25113	
5101	Escherichia coli K-12	BW25113	
5102	Escherichia coli K-12	BW25113	
5103	Escherichia coli K-12	BW25113	
5104	Escherichia coli K-12	BW25113	
5105	Escherichia coli K-12	BW25113	
5106	Escherichia coli K-12	BW25113	
5107	Escherichia coli K-12	BW25113	
5108	Escherichia coli K-12	BW25113	
5109	Escherichia coli K-12	BW25113	
5110	Escherichia coli K-12	BW25113	
5111	Escherichia coli K-12	BW25113	
5112	Escherichia coli K-12	BW25113	
5113	Escherichia coli K-12	BW25113	
5114	Escherichia coli K-12	BW25113	
5115	Escherichia coli K-12	BW25113	
5116	Escherichia coli K-12	BW25113	
5117	Enterobacter cloacae		
5118	Enterobacter cloacae		
5119	Enterobacter cloacae		
5120	Enterobacter cloacae		
5121	Enterobacter cloacae		
5122	Enterobacter cloacae		
5123	Enterobacter cloacae		No guide
5124	Enterobacter cloacae		
5125	Enterobacter cloacae		
5126	Klebsiella pneumoniae		
5127	Klebsiella pneumoniae		
5128	Klebsiella pneumoniae		
5129	Klebsiella pneumoniae		
5130	Klebsiella pneumoniae		
5131	Klebsiella pneumoniae		
5132	Klebsiella pneumoniae		
5133	Klebsiella pneumoniae		No guide
5134	Klebsiella pneumoniae		
5135	Escherichia coli K-12	BW25141	
5136	Escherichia coli K-12	BW25141	
5137	Escherichia coli K-12		
5138	Escherichia coli K-12		
5139	Escherichia coli K-12		
5140	Escherichia coli K-12	MG1655	No change
5141	Escherichia coli K-12	MG1655	Unselected library
5142	Escherichia coli K-12	MG1655	Library
5143	Enterobacter cloacae		Unselected library
5144	Enterobacter cloacae		Library
5145	Klebsiella pneumoniae		Unselected library
5146	Klebsiella pneumoniae		Library
5147	Escherichia coli K-12	MG1655	No guide
